spatial_info_id,installation_location,road_name,longitude,latitude,district_code,district_name,parking_violation_note,weekday_start_time_am,weekday_start_time_pm,weekday_end_time_am,weekday_end_time_pm,saturday_start_time_am,saturday_start_time_pm,saturday_end_time_am,saturday_end_time_pm,holiday_start_time_am,holiday_start_time_pm,holiday_end_time_am,holiday_end_time_pm
317,비산네거리,달서로,128.5712079,35.87238945,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
318,비산우체국 앞,달서로,128.5711559,35.87597465,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
319,BMW앞,와룡로,128.5379073,35.87055082,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
320,대성사진관 앞,국채보상로,128.5730789,35.87219996,3,서구,촬영간격 10분  토 일 공휴일 제외,7:00,14:00,12:00,20:00,-,-,-,-,-,-,-,-
321,젠틀맨 앞,국채보상로,128.5757609,35.87198215,3,서구,촬영간격 10분  토 일 공휴일 제외,7:00,14:00,12:00,20:00,-,-,-,-,-,-,-,-
322,현대모비스 건너편,달서천로,128.5522086,35.8823563,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
323,이마트 트레이더스,서대구로63길,128.5557091,35.88920554,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
324,현대모비스 앞,팔달로,128.5565581,35.89041749,3,서구,촬영간격(일반-20분  화물-20분  버스정류장-5분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
71,농협대곡지점 부근(도원네거리 주변),도원로,128.5358027,35.80840954,7,달서구,촬영간격 - 10분  (단속유예:11:00~15:00),9:00,15:00,11:00,18:00,-,-,-,-,-,-,-,-
72,도원네거리(지은스포렉스 주변),도원로,128.5355334,35.80674509,7,달서구,촬영간격 - 10분  (단속유예:11:00~15:00),9:00,15:00,11:00,18:00,-,-,-,-,-,-,-,-
73,롯데백화점(상인점 정문),월배로,128.5388116,35.81910841,7,달서구,촬영간격 - 10분,9:00,14:00,12:00,18:00,-,-,-,-,-,-,-,-
