위반장소명,count
방촌동 1113-26 ,23
방촌동 1113-27 ,18
방촌동 1113-321 ,3
방촌동 1114-1 ,1
방촌동 1117-2 ,9
방촌동 1118-10,2
방촌동 1118-106,1
방촌동 1118-107 ,3
방촌동 1118-110 ,2
방촌동 1118-120 ,1
방촌동 1119-1 ,2
방촌동 1119-100 ,2
방촌동 1119-108 ,6
방촌동 1119-109 ,9
방촌동 1119-117 ,1
방촌동 1119-129 ,1
방촌동 1119-130,1
방촌동 1119-130 ,3
방촌동 1119-28 ,2
방촌동 1119-35 ,22
방촌동 1119-41 ,1
방촌동 1119-5 ,9
방촌동 1119-54 ,1
방촌동 1120-17 ,1
방촌동 1120-39,1
방촌동 1120-39 ,14
방촌동 1120-45 ,1
방촌동 1120-60 ,1
방촌동 1120-73 ,30
방촌동 1120-77 ,1
방촌동 1139-1 ,3
방촌동 1139-65 ,3
방촌동 1150 ,2
방촌동 1152 ,5
방촌동 1153,68
방촌동 1153 ,34
방촌동 756-349 ,1
방촌동 813-10 ,34
방촌동 813-32 ,1
방촌동 813-4 ,11
방촌동 813-42 ,79
방촌동 813-48 ,1
방촌동 813-50 ,1
방촌동 813-53 ,4
방촌동 813-55 ,1
방촌동 818-3 ,5
방촌동 822-12 ,5
방촌동 822-2 ,1
방촌동 822-4 ,2
방촌동 822-5 ,14
방촌동 851-11 ,4
방촌동 851-12 ,4
방촌동 851-4 ,2
방촌동 852-16 ,4
방촌동 852-58 ,1
방촌동 852-6 ,3
방촌동 855--71 ,1
방촌동 855-12 ,3
방촌동 855-15 ,136
방촌동 855-34 ,3
방촌동 855-35 ,14
방촌동 855-36 ,2
방촌동 855-37 ,3
방촌동 855-5 ,2
방촌동 855-59 ,1
방촌동 855-6 ,15
방촌동 855-71 ,2
방촌동 857-117 ,1
방촌동 857-122 ,1
방촌동 857-123 ,2
방촌동 857-127,3
방촌동 857-18 ,1
방촌동 857-19 ,1
방촌동 857-220 ,5
방촌동 857-223 ,2
방촌동 857-23 ,1
방촌동 857-27,3
방촌동 857-28 ,14
방촌동 857-40 ,1
방촌동 857-90 ,4
방촌동 857-91 ,1
방촌동 858-22 ,1
방촌동 859-2 ,1
방촌동 860-14 ,7
방촌동 860-16 ,77
방촌동 860-17 ,9
방촌동 860-18 ,14
방촌동 860-19 ,1
방촌동 860-3 ,10
방촌동 861-117 ,1
방촌동 862-30 ,14
방촌동 862-31 ,1
방촌동 862-32 ,66
방촌동 862-43 ,1
방촌동 862-45 ,10
방촌동 862-46 ,13
방촌동 862-58 ,5
방촌동 863-10 ,5
방촌동 863-13 ,2
방촌동 863-2 ,1
방촌동 863-27 ,3
방촌동 863-34 ,2
방촌동 863-62 ,2
방촌동 863-63 ,2
방촌동 867-1 ,1
방촌동 867-7 ,52
방촌동 867-7- ,1
방촌동 868-16 ,29
방촌동 868-2,1
방촌동 868-2 ,9
방촌동 871-17 ,2
방촌동 871-20 ,1
방촌동 871-23 ,1
방촌동 871-25 ,2
방촌동 871-27 ,2
방촌동 874-1,3
방촌동 876-1 ,2
방촌동 881-3 ,1
방촌동 881-5 ,1
방촌동 883-12 ,8
방촌동 883-14 ,4
방촌동 883-16 ,5
방촌동 883-17 ,5
방촌동 883-5 ,1
방촌동 887-11,3
방촌동 890-15 ,1
방촌동 890-54 ,2
방촌동 890-6 ,5
방촌동 890-62 ,7
방촌동 890-63 ,10
방촌동 890-64 ,5
방촌동 897-2 ,1
방촌동 897-7 ,7
방촌동 897-8 ,7
방촌동 902-13 ,2
방촌동 902-18 ,6
방촌동 902-23 ,63
방촌동 902-24 ,1
방촌동 902-32 ,37
방촌동 902-7 ,128
방촌동 907-15 ,2
방촌동 907-20 ,1
방촌동 907-23 ,1
방촌동 911-5 ,2
방촌동 911-7 ,1
방촌동 913-8 ,1
방촌동 914-13 ,3
방촌동 921-10 ,4
방촌동 925-106 ,7
방촌동 940-12 ,2
방촌동 957-17 ,1
방촌동 960-58 ,1
방촌동 984 ,12
방촌동 984-11 ,2
방촌동 984-12 ,21
방촌동 988-89 ,6
방촌동 993-18 ,4
방촌동 997-1,12
방촌동 동촌로 195,1
방촌동 동촌로 213,22
방촌동 동촌로 222,4
방촌동 동촌로 241,1
방촌동 동촌로 263-3,2
방촌동 동촌로 275,29
방촌동 동촌로45길 5,1
방촌동 동촌로46길 2,17
방촌동 둔산로 5-4,2
방촌동 해동로 270-5,1
방촌동 호반길 1-3,2
방촌동 화랑로75길 65-10,8
방촌동 화랑로75길 72-1,14
방촌동 화랑로80길 9,1
방촌동 화랑로91길 7,1
방촌로,28
방촌시장,74
방촌역 태왕아너스아파트,123
방촌역태왕아너스아파트,119
방촌천다리,712
방촌초등학교,168
백안동 176,2
백안동 562-1 ,3
백안동 562-2 ,2
백안동 563-1 ,15
백안동 563-2 ,1
백안동 568-2 ,2
백안동 649 ,1
백안동 656-8 ,1
백안동 808,1
백안동 팔공로207길 27,1
범안로,31
범어동 국채보상로 860,1
복합환승센터 ,85
봉무동 1035-6 ,1
봉무동 11583 ,1
봉무동 1520 ,1
봉무동 1522 ,2
봉무동 1523,2
봉무동 1524 ,46
봉무동 1526 ,4
봉무동 1527 ,1
봉무동 1536 ,1
봉무동 1537 ,1
봉무동 1539 ,3
봉무동 1539-11 ,1
봉무동 1539-15 ,1
봉무동 1539-17 ,10
봉무동 1539-3 ,17
봉무동 1539-4 ,1
봉무동 1539-8 ,9
봉무동 1539-9 ,21
봉무동 1540 ,2
봉무동 1542 ,127
봉무동 1542-1 ,5
봉무동 1542-2 ,4
봉무동 1542-3 ,10
봉무동 1542-4 ,3
봉무동 1542-5 ,17
봉무동 1542-6 ,2
봉무동 1542-7 ,2
봉무동 1542-8 ,39
봉무동 1542-9 ,1
봉무동 1543 ,2
봉무동 1543+-1 ,2
봉무동 1543-1,1
봉무동 1543-1 ,189
봉무동 1543-3 ,51
봉무동 1543-4 ,21
봉무동 1543-5 ,3
봉무동 1543-6 ,3
봉무동 15435-1 ,2
봉무동 1544 ,7
봉무동 1545 ,3
봉무동 1546-1 ,5
봉무동 1546-3 ,1
봉무동 1548-1 ,6
봉무동 1548-10 ,2
봉무동 1548-2 ,12
봉무동 1548-4 ,8
봉무동 1548-8 ,1
봉무동 1549 ,7
봉무동 1549-2 ,1
봉무동 1549-3 ,6
봉무동 1549-5 ,5
봉무동 1550 ,1
봉무동 1551 ,9
봉무동 1551-1 ,1
봉무동 1551-2 ,13
봉무동 1551-3 ,3
봉무동 1551-4 ,1
봉무동 1552 ,1
봉무동 1553 ,6
봉무동 1553-2 ,1
봉무동 1558 ,2
봉무동 1560-1 ,3
봉무동 1561 ,5
봉무동 1561-1 ,2
봉무동 1561-2 ,1
봉무동 1561-4 ,19
봉무동 1562-2 ,3
봉무동 1562-5 ,11
봉무동 1563-2 ,1
봉무동 1563-3 ,4
봉무동 1563-4 ,1
봉무동 1564 ,8
봉무동 1564-3 ,1
봉무동 1564-4 ,2
봉무동 1564-5 ,1
봉무동 1564-6 ,5
봉무동 1564-7 ,1
봉무동 1565-3 ,2
봉무동 1565-6 ,1
봉무동 1571 ,1
봉무동 1580,2
봉무동 1581 ,4
봉무동 1583,9
봉무동 1583 ,24
봉무동 1586 ,3
봉무동 1589 ,6
봉무동 1590 ,3
봉무동 1591,360
봉무동 1591 ,9
봉무동 1592 ,2
봉무동 1593,10
봉무동 1594 ,5
봉무동 1595,94
봉무동 1595 ,68
봉무동 1597,6
봉무동 1597 ,7
봉무동 1598 ,6
봉무동 1599 ,3
봉무동 1600 ,15
봉무동 1602 ,2
봉무동 1603 ,28
봉무동 1609,26
봉무동 1609 ,4
봉무동 1611,5
봉무동 1615 ,2
봉무동 1624 ,15
봉무동 1626,6
봉무동 1627,1
봉무동 256-1 ,1
봉무동 941 ,1
봉무동 산 39-1,1
봉무동 산 39-1 ,1
봉무동 위남로 62,1
봉무동 팔공로 222,21
봉무동 팔공로 227,2
봉무동 팔공로 241,72
봉무동 팔공로 259,24
봉무동 팔공로 260,6
봉무동 팔공로 357,1
봉무동 팔공로51길 10,35
봉무동 팔공로51길 3,60
봉무동 팔공로53길 30,1
봉무지하도로,11
봉무초등학교,253
부동 500-2 ,1
부동 500-4 ,1
부동 670-5 ,1
불로 서한아파트 ,22
불로동 1005-1 ,1
불로동 1010 ,49
불로동 1017 ,1
불로동 1022-2 ,1
불로동 1107 ,1
불로동 1107-1 ,1
불로동 1107-84 ,8
불로동 1107-98 ,2
불로동 1149 ,1
불로동 1149-11 ,1
불로동 1158-1 ,1
불로동 1170 ,2
불로동 1173 ,1
불로동 1189 ,1
불로동 1193 ,1
불로동 1199 ,1
불로동 1200 ,1
불로동 30-10 ,3
불로동 30-12 ,2
불로동 30-25 ,11
불로동 31-22 ,1
불로동 31-7 ,3
불로동 323-2 ,2
불로동 364-3 ,4
불로동 365-3 ,1
불로동 365-7 ,1
불로동 382-10 ,1
불로동 382-19 ,1
불로동 389-1 ,1
불로동 389-8 ,2
불로동 395-1 ,6
불로동 400 ,1
불로동 434 ,1
불로동 443-1 ,8
불로동 450 ,1
불로동 483-5 ,3
불로동 631-2 ,2
불로동 631-5,52
불로동 631-5 ,1
불로동 639-7,9
불로동 643,1
불로동 725-2 ,1
불로동 731-2 ,1
불로동 751-4 ,4
불로동 955-11 ,1
불로동 955-15 ,1
불로동 955-18 ,33
불로동 955-2 ,2
불로동 955-7 ,16
불로동 962 ,1
불로동 962-1,3
불로동 962-1 ,1
불로동 965-1 ,2
불로동 965-10 ,3
불로동 968-7 ,1
불로동 969-2 ,1
불로동 972-10 ,6
불로동 972-11 ,11
불로동 972-17 ,10
불로동 977-10 ,1
불로동 984-2 ,2
불로동 997-10 ,26
불로동 997-3 ,6
불로동 팔공로 23-2,1
불로동고분군 ,79
불로동고분군,113
불로천자전거길,2
불로초등학교,37
사복동 836 ,1
사복동 840-4 ,1
사복동 840-5 ,1
사복동 841 ,2
사복동 841-1 ,3
사복동 843-3 ,1
사복동 843-4 ,1
사복동 844 ,1
사복동 845 ,4
사복동 845-2 ,1
사복동 846 ,2
사복동 846-7 ,4
사복동 848-8 ,7
사복동 851-1 ,1
사복동 852-2,5
사복동 853 ,4
사복동 854 ,3
사복동 855 ,3
상매동 501-3 ,1
상매동 502 ,3
상매동 505-11 ,2
상매동 505-9 ,27
상매동 506 ,4
상매동 506-5 ,6
상매동 508 ,1
상매동 509 ,4
상매동 515-9 ,1
상매동 522-1 ,1
상매동 522-4 ,1
새론초등학교,65
서원킹스밀,343
서촌초등학교,6
서허동 104-1 ,2
서호동 103-7 ,4
서호동 103-9 ,2
서호동 104-1 ,39
서호동 105-3 ,14
서호동 123-17 ,1
서호동 123-6 ,1
서호동 155-1 ,2
서호동 169 ,2
서호동 175-4 ,1
서호동 201-3 ,3
서호동 201-34 ,1
서호동 201-48 ,1
서호동 260 ,4
서호동 295 ,1
서호동 7-79 ,1
서호동 75-6 ,1
서호동 76-5 ,2
서호동 78-1 ,1
서호동 78-2 ,8
서호동 78-5 ,1
서호동 79-10 ,1
서호동 79-11 ,4
서호동 79-2 ,12
서호동 79-4 ,2
서호동 79-9 ,1
서호동 80-7 ,51
서호동 81-4 ,1
서호동 81-5 ,40
서호동 9-5 ,1
서호동 안심로41길 37,1
서호동 안심로49길 13-6,1
서호동 안심로51길 14-2,1
성동고가교,988
송라로,39
송라로10길,25
송라로11길,9
송라로12길,26
송라로14길,3
송라로16길,81
송라로28길,57
송라로2길,36
송라로32길,233
송라로32길 32,1
송라로6길,1
송정동 787-1 ,1
송정,150
송정초등학교,219
숙천동 404 ,1
숙천유치원 ,94
숙천초등학교,2
신기동 12-7 ,1
신기동 122-15,14
신기동 123-8 ,2
신기동 174-1 ,1
신기동 174-3 ,1
신기동 174-4 ,3
신기동 2-8 ,1
신기동 207-7 ,1
신기동 211-1 ,55
신기동 211-11 ,1
신기동 23 ,1
신기동 23-1 ,10
신기동 233-1,9
신기동 25-18 ,4
신기동 262-1 ,103
신기동 265 ,54
신기동 265-4 ,1
신기동 265-5 ,6
신기동 265-9 ,5
신기동 268-5 ,64
신기동 268-9 ,11
신기동 274-10 ,1
신기동 274-8 ,1
신기동 28-1 ,5
신기동 28-4 ,16
신기동 28-6 ,1
신기동 289 ,25
신기동 29-1 ,5
신기동 296 ,4
신기동 296-2 ,28
신기동 30-2 ,4
신기동 322-20 ,4
신기동 35-12 ,1
신기동 35-4 ,4
신기동 41-2 ,5
신기동 41-3 ,3
신기동 43-5 ,1
신기동 44-3 ,10
신기동 44-5 ,7
신기동 47-9 ,1
신기동 538-9 ,1
신기동 541-6 ,1
신기동 547-9 ,12
신기동 549,2
신기동 554 ,36
신기동 555 ,150
신기동 556 ,34
신기동 557 ,153
신기동 557-1 ,9
신기동 558 ,18
신기동 560 ,6
신기동 560-1 ,6
신기동 563 ,12
신기동 563-3 ,1
신기동 563-4 ,16
신기동 565-4 ,2
신기동 567-4 ,1
신기동 573 ,2
신기동 576 ,36
신기동 576-1 ,2
신기동 578 ,63
신기동 580,1
신기동 580 ,145
신기동 583 ,40
신기동 583-9 ,19
신기동 585 ,5
